True,filename,width,height,class,xmin,ymin,xmax,ymax
4,ASG000c7hr.jpg,2048,1536,Wildebeest,1987,680,2048,751
5,ASG000c7hr.jpg,2048,1536,Wildebeest,1922,697,2004,756
6,ASG000c7hr.jpg,2048,1536,Wildebeest,1840,664,1939,752
7,ASG000c7hr.jpg,2048,1536,Wildebeest,1618,685,1744,744
8,ASG000c7hr.jpg,2048,1536,Wildebeest,1531,647,1615,733
9,ASG000c7hr.jpg,2048,1536,Wildebeest,875,623,1045,706
10,ASG000c7hr.jpg,2048,1536,Wildebeest,1092,657,1148,705
11,ASG000c7hr.jpg,2048,1536,Wildebeest,1135,668,1183,706
12,ASG000c7hr.jpg,2048,1536,Wildebeest,309,607,417,676
13,ASG000c7hr.jpg,2048,1536,Wildebeest,1,563,223,682
14,ASG000clcb.jpg,2048,1536,Wildebeest,1457,648,1487,675
15,ASG000clcb.jpg,2048,1536,Wildebeest,1055,638,1093,672
16,ASG000clcb.jpg,2048,1536,Wildebeest,1082,642,1114,670
17,ASG000clcb.jpg,2048,1536,Wildebeest,893,638,930,668
18,ASG000clcb.jpg,2048,1536,Wildebeest,1868,209,2048,938
19,ASG000clcb.jpg,2048,1536,Wildebeest,1556,595,2048,1298
20,ASG000clcb.jpg,2048,1536,Wildebeest,1245,580,2048,1458
21,ASG000clcb.jpg,2048,1536,Wildebeest,1,494,50,752
22,ASG000clcb.jpg,2048,1536,Wildebeest,1,578,519,1244
23,ASG000clcb.jpg,2048,1536,Wildebeest,1,316,1571,1536
24,ASG000clcb.jpg,2048,1536,Wildebeest,296,568,873,1114
25,ASG000ehwa.jpg,2048,1536,Wildebeest,1,550,170,999
26,ASG000ehwa.jpg,2048,1536,Wildebeest,326,355,1362,1185
27,ASG000ehwa.jpg,2048,1536,Wildebeest,1998,902,2048,945
28,ASG000ehwa.jpg,2048,1536,Wildebeest,1674,892,1716,919
29,ASG000ehwa.jpg,2048,1536,Wildebeest,1781,893,1957,963
30,ASG000ehwa.jpg,2048,1536,Wildebeest,1944,917,1983,948
31,ASG000ehwa.jpg,2048,1536,Wildebeest,1542,886,1579,908
39,ASG000dval.jpg,2048,1536,Wildebeest,1944,700,2048,996
40,ASG000blo6.jpg,2048,1536,Zebra,1630,417,2017,1300
41,ASG000fhr3.jpg,2048,1536,Wildebeest,444,640,507,675
42,ASG000fhr3.jpg,2048,1536,Wildebeest,285,635,317,669
43,ASG000fhr3.jpg,2048,1536,Zebra,128,575,259,692
44,ASG000fhr3.jpg,2048,1536,Zebra,1,593,168,687
45,ASG000fhr3.jpg,2048,1536,Zebra,109,607,168,679
46,ASG000cyoz.jpg,2048,1536,Wildebeest,1,898,209,1141
47,ASG000cyoz.jpg,2048,1536,Wildebeest,200,904,457,1105
48,ASG000cyoz.jpg,2048,1536,Wildebeest,476,952,689,1123
49,ASG000cyoz.jpg,2048,1536,Wildebeest,708,881,1117,1177
50,ASG000cyoz.jpg,2048,1536,Wildebeest,1365,939,1881,1265
51,ASG000cyoz.jpg,2048,1536,Wildebeest,1891,977,2048,1139
60,ASG000ce1i.jpg,2048,1536,Wildebeest,888,691,1166,959
61,ASG000ce1i.jpg,2048,1536,Wildebeest,525,723,639,857
62,ASG000ce1i.jpg,2048,1536,Wildebeest,314,713,464,905
64,ASG000d9md.jpg,2048,1536,Zebra,1,1,724,579
65,ASG000d9md.jpg,2048,1536,Zebra,1,97,2048,1536
66,ASG000d9md.jpg,2048,1536,Zebra,144,1,2048,1536
71,ASG000fekl.jpg,2048,1536,Wildebeest,2001,748,2048,919
72,ASG000fekl.jpg,2048,1536,Wildebeest,1102,815,1196,937
73,ASG000fekl.jpg,2048,1536,Wildebeest,679,727,1048,1015
74,ASG000fekl.jpg,2048,1536,Wildebeest,424,785,549,911
75,ASG000fekl.jpg,2048,1536,Wildebeest,1,766,62,914
76,ASG000fekl.jpg,2048,1536,Wildebeest,333,813,372,844
